,RGIId,Mean Thickness,Median Thickness,Thickness Std Dev,Weighted Mean Thickness,Model Variance,Weighted Volume (km3),Lower Bound,Upper Bound,Shapiro-Wilk statistic,Shapiro-Wilk p_value,IQR,Total estimates,region,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Farinotti Mean Thickness,Farinotti Shapiro-Wilk statistic,Farinotti Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Farinotti Skew,Farinotti Volume (km3),Thickness,Residual,Percent Residual,Farinotti Residual,Farinotti PercentResidual
0,RGI60-01.00037,209.31026638981365,216.1309,40.039093935555215,209.2268954563509,1602.730750250232,49.081072816837164,16.95164814981365,26.560070810186346,0.7200724482536316,0.0,28.533289999999997,4025.0,01,63.469173431,-146.528167725,12.0,722,1841,3081,234.583,30,41911,221.36874,0.8945847153663635,0.0,174.29193,53.527866,0.7808770537376404,51.92934313542,235.0,-25.77310454364911,-0.10967278529212388,-13.631259999999997,-0.058005361702127646
1,RGI60-01.00570,90.49420046161492,91.317276,15.268613127169626,90.37975112121596,233.07262619442452,1.5877010879464009,11.444827421614931,13.472250578385072,0.953788161277771,6.638265014110566e-34,16.051463999999996,4025.0,01,63.281,-145.427,14.0,1162,1858,2438,17.567,172,8639,75.65679,0.9394835233688354,0.0,67.445496,18.147484,0.7521893382072449,1.32906282993,147.0,-56.62024887878404,-0.38517176108016354,-71.34321,-0.48532795918367344
2,RGI60-01.01104,90.1673228,91.284256,15.082670612493656,90.06029012518067,227.43043430738848,0.8580944443127215,11.012297839999988,13.168567800000005,0.9517110586166382,1.636929148107807e-34,16.12935999999999,4025.0,01,58.38,-134.349,10.0,676,1123,1494,9.528,327,6332,110.90168,0.944506049156189,0.0,97.63259,29.57328,0.8061893582344055,1.0566712070400002,66.0,24.06029012518067,0.3645498503815253,44.90168,0.6803284848484848
3,RGI60-01.02236,51.70926111518012,50.033535,13.439233816970164,51.55764367995158,180.56813279077528,0.007888319483032593,12.63604721118012,12.552256404819879,0.9842274785041808,8.476528480375751e-21,16.174628999999996,4025.0,01,69.276,-143.819,22.0,2360,2440,2554,0.153,219,680,22.385798,0.9701671004295348,4.969997826265171e-05,24.184961,1.36046,-0.2824761271476745,0.0034250270940000003,83.0,-31.442356320048418,-0.37882357012106527,-60.614202,-0.7302915903614458
4,RGI60-01.02236,51.70926111518012,50.033535,13.439233816970164,51.55764367995158,180.56813279077528,0.007888319483032593,12.63604721118012,12.552256404819879,0.9842274785041808,8.476528480375751e-21,16.174628999999996,4025.0,01,69.276,-143.819,22.0,2360,2440,2554,0.153,219,680,22.385798,0.9701671004295348,4.969997826265171e-05,24.184961,1.36046,-0.2824761271476745,0.0034250270940000003,82.0,-30.442356320048418,-0.3712482478054685,-59.614202,-0.7270024634146341
5,RGI60-01.10679,56.63598747043479,55.14406,15.18074920790991,56.47526563371832,230.3978905764354,0.0023154858909824514,13.7760961904348,14.537862009565195,0.9867624640464784,5.552146389874968e-19,18.54269,4025.0,01,61.107,-147.007,26.0,619,661,720,0.041,57,-9,11.488369,0.9698215126991272,0.1027023419737815,11.756308,0.52102804,0.0868665799498558,0.000471023129,277.0,-220.52473436628168,-0.7961181746075151,-265.511631,-0.9585257436823106
6,RGI60-01.14445,57.97082283180124,56.49158,13.96626752015783,57.81616721788894,195.00816717046783,0.05087822715174226,12.762423487801243,13.336929888198753,0.9862385392189026,2.23778515282466e-19,17.28338,4025.0,01,60.025,-139.284,23.0,1158,1447,1818,0.88,193,1561,35.248592,0.9909010529518129,1.1656378973157189e-07,36.418293,3.340641,0.1504656076431274,0.031018760960000002,270.0,-212.18383278211107,-0.7858660473411521,-234.751408,-0.8694496592592592
7,RGI60-01.16314,65.32488654037267,64.79668,12.868190022445502,65.19777822506352,165.54917400297003,0.18072824123987608,12.917342532372672,12.442642003627313,0.9902381896972656,4.885743743882336e-16,16.724548,4025.0,01,61.24,-140.364,20.0,2001,2389,3109,2.772,39,3141,46.05425,0.9689578413963318,6.355112160432471e-30,46.77259,5.95975,0.4287563562393188,0.127662381,72.0,-6.802221774936484,-0.09447530242967339,-25.945749999999997,-0.36035763888888883
8,RGI60-01.16374,67.97909476844721,67.34361,12.929231431456977,67.85602514457851,167.12349372484385,0.3975684513220855,12.863021736447209,12.777732271552765,0.9946993589401244,6.035882210708721e-11,16.927744999999994,4025.0,01,61.2,-140.302,14.0,2145,2509,2894,5.859,341,3374,50.68064,0.9715472459793092,1.9957306741898688e-39,49.84997,6.921771,0.1792890429496765,0.29693786976,66.0,1.8560251445785099,0.02812159309967439,-15.319360000000003,-0.2321115151515152
9,RGI60-02.03411,58.222749870807455,57.679188,10.247830755409367,58.11876136333152,104.99194375419948,0.05067955990882509,9.226049870807458,9.915433489192544,0.9892738461494446,6.413092907943201e-17,13.486777999999994,4025.0,02,51.177,-116.33,15.3,2390,2526,2853,0.872,69,1181,34.02814,0.9363361597061156,6.45426823331835e-24,34.646187,7.44112,0.5701231731905811,0.029672538079999998,70.0,-11.881238636668478,-0.1697319805238354,-35.97186,-0.5138837142857143
