,GlaThiDa_ID,POLITICAL_UNIT,GLACIER_NAME,GLACIER_DB,GLACIER_ID,LAT,LON,SURVEY_DATE,ELEVATION_DATE,AREA,MEAN_SLOPE,MEAN_THICKNESS,MEAN_THICKNESS_UNCERTAINTY,MAXIMUM_THICKNESS,MAX_THICKNESS_UNCERTAINTY,SURVEY_METHOD,SURVEY_METHOD_DETAILS,NUMBER_OF_SURVEY_POINTS,NUMBER_OF_SURVEY_PROFILES,TOTAL_LENGTH_OF_SURVEY_PROFILES,INTERPOLATION_METHOD,INVESTIGATOR,SPONSORING_AGENCY,REFERENCES,DATA_FLAG,REMARKS,RGIId,RGI Centroid Distance
0,1,SE,ISFALLSGLAC,WGI,SE4B000E0006,67.915,18.568,19790399.0,19799999.0,1.3,,72.0,,220.0,,GPRt,,,,,,Schytt V. and others,University of Iceland,"Björnsson, H., (1981). Geogr. Ann.",,,RGI60-08.00251,0.1678996020065332 km
1,2,SE,RABOTS GLACIAER,WGI,SE4B000E1016,67.91,18.496,19790399.0,19799999.0,4.1,,84.0,,175.0,,GPRt,,,10.0,,,Schytt V. and others,University of Iceland,"Björnsson, H., (1981). Geogr. Ann.",,,RGI60-08.00188,0.0 km
2,3,SE,STORGLACIAEREN,WGI,SE4B000E0005,67.9,18.57,19790399.0,19799999.0,3.1,,99.0,,250.0,,GPRt,,,,,,Schytt V. and others,University of Iceland,"Björnsson, H., (1981). Geogr. Ann.",,,RGI60-08.00213,0.33722866300825605 km
3,4,US,SOUTH CASCADE,WGI,US2M00264006,48.35698,-121.05735,19759999.0,19759999.0,2.0,,99.0,,195.0,,DRIh,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. based on Hodge (1979). Jour. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.18778,0.0 km
4,5,CA,ATHABASCA,FOG,7,52.1754,-117.284,,,3.8,,150.0,,,,,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. based on Trembley written com. (1985)",,,RGI60-02.12441,0.0 km
5,6,US,DINWOODY,,,43.17324,-109.63833,,,1.5,,55.0,,111.0,,GPR,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR; MAXIMUM_THICKNESS from Marston et al. (1991), https://doi.org/10.1080/02723646.1991.10642421",,,RGI60-02.18805,0.0 km
6,7,US,WHITNEY,FOG,192,41.41401,-122.21133,19819999.0,19819999.0,1.38,,20.0,,38.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. based on Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.16499,0.0 km
7,8,US,GRINNELL,FOG,217,48.75,-113.73,19819999.0,19819999.0,1.0,,64.0,,,,,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.16808,0.34260613066181356 km
8,9,US,MACLURE,,,37.74668,-119.28274,19819999.0,19819999.0,0.2,,17.0,,,,,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.15500,0.0 km
9,10,US,CARBON,WGI,US2M00541001,46.93,-121.78,19819999.0,19819999.0,7.9,,90.0,,215.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.14264,1.8718652362200838 km
10,11,US,COALMAN,,,45.37284,-121.69973,19819999.0,19819999.0,0.1,,14.0,,25.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.13873,0.0 km
11,12,US,COE,,,45.3833,-121.6944,19819999.0,19819999.0,1.2,,43.0,,88.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.18795,0.4984508826067218 km
12,13,US,COLLIER,,,44.1652,-121.7836,19819999.0,19819999.0,1.1,,19.0,,91.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.13754,0.1117393636187437 km
13,14,US,DILLER,,,44.1432,-121.7739,19819999.0,19819999.0,0.7,,20.0,,59.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Bahr et al., (1997). JGR.",,,RGI60-02.13747,0.41875883771942846 km
14,15,US,ELIOT,,,45.3808,-121.6803,19819999.0,19819999.0,1.7,,54.0,,110.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.18792,0.02777875321996103 km
15,16,US,EMMONS,WGI,US2M00531003,46.85,-121.72,19819999.0,19819999.0,11.0,,60.0,,185.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14338,0.8497343223742788 km
16,17,US,HAYDEN,,,44.1524,-121.7762,19819999.0,19819999.0,0.7,,26.0,,65.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13741,0.5105239404587045 km
17,18,US,LADD,,,45.3916,-121.7048,19819999.0,19819999.0,0.9,,33.0,,76.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13874,0.13844771005714568 km
18,19,US,LANGILLE,,,45.3922,-121.68,19819999.0,19819999.0,0.4,,20.0,,,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.18793,0.5732554955507424 km
19,20,US,LOST CREEK,,,44.1075,-121.7836,19819999.0,19819999.0,0.5,,21.0,,67.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,LAT/LON: from wikipedia,RGI60-02.13828,0.005846969573859903 km
20,21,US,NEWTON CLARK,,,45.3667,-121.6867,19819999.0,19819999.0,2.0,,20.0,,73.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.18791,0.3735527457332764 km
21,22,US,NISQUALLY,WGI,US2M00553003,46.82,-121.74,19819999.0,19819999.0,4.6,,48.0,,133.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.14336,0.7933260855485803 km
22,23,US,PALMER,,,45.3525,-121.7075,19819999.0,19819999.0,0.13,,16.0,,50.0,,GPRt,,,,,,,,"Driedger, C.L., and Kennard, P.M., (1986a). Ann. Glac. and Driedger, C.L., and Kennard, P.M., (1986b). U.S.G.S. and Bahr et al., (1997). JGR.",,,RGI60-02.13877,0.34027831976621026 km
