,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
0,0,72.0,18.564,67.915,1.438,1204.0,1526.0,1698.0,16.9,98.0,1941.0
1,1,84.0,18.496,67.91,3.696,1207.0,1443.0,2070.0,15.9,282.0,3954.0
2,2,99.0,18.569,67.903,3.405,1143.0,1414.0,1797.0,13.2,102.0,3636.0
3,3,99.0,-121.05735,48.35698,2.924,1613.0,1891.0,2196.0,12.8,350.0,3338.0
4,4,150.0,-117.284,52.1754,16.154,1982.0,2870.0,3448.0,12.6,93.0,10396.0
5,5,55.0,-109.63833,43.17324,3.061,3328.0,3600.0,4052.0,19.4,26.0,2927.0
6,6,20.0,-122.21133,41.41401,1.291,3033.0,3492.0,4180.0,21.5,332.0,3168.0
7,7,64.0,-113.72706,48.75239,1.018,1961.0,2039.0,2398.0,17.2,23.0,1560.0
8,8,17.0,-119.28274,37.74668,0.263,3598.0,3694.0,3779.0,23.9,359.0,440.0
9,10,90.0,-121.69973,45.37284,0.21,3103.0,3229.0,3373.0,32.2,237.0,504.0
10,11,14.0,-121.69507,45.38776,1.186,1888.0,2341.0,3288.0,26.0,12.0,2857.0
11,12,43.0,-121.78496,44.16497,1.17,2221.0,2544.0,2803.0,17.6,344.0,1666.0
12,13,19.0,-121.77891,44.14429,0.011,2683.0,2715.0,2739.0,28.8,139.0,-9.0
13,14,20.0,-121.68056,45.38097,1.719,2011.0,2426.0,3310.0,23.9,42.0,2786.0
14,15,54.0,-121.70905,46.84859,0.013,3085.0,3163.0,3225.0,35.5,140.0,224.0
15,16,60.0,-121.77332,44.1483,0.808,2321.0,2590.0,2810.0,20.7,91.0,1680.0
16,17,26.0,-121.7064,45.39213,0.529,2004.0,2221.0,2462.0,19.7,317.0,1429.0
17,18,33.0,-121.68527,45.38862,1.12,1784.0,2292.0,3328.0,24.7,23.0,3316.0
18,19,20.0,-121.78366,44.10747,0.557,2297.0,2567.0,2857.0,20.8,318.0,1471.0
19,20,21.0,-121.68244,45.36821,2.392,2164.0,2613.0,3395.0,25.2,110.0,2846.0
20,21,20.0,-121.74768,46.82481,4.444,1425.0,2726.0,4350.0,24.5,165.0,6217.0
21,22,48.0,-121.70712,45.34945,1.125,1843.0,2267.0,2835.0,16.8,185.0,3112.0
22,23,16.0,-121.75938,44.10682,1.184,2394.0,2612.0,2925.0,20.4,47.0,1391.0
23,24,17.0,-121.71789,45.37141,1.01,1813.0,2450.0,3005.0,29.0,280.0,2294.0
24,25,24.0,-121.78988,46.89649,3.029,1992.0,2418.0,3017.0,20.8,27.0,2196.0
25,26,26.0,-121.71883,45.38088,1.431,1835.0,2254.0,2740.0,24.8,312.0,1772.0
26,28,21.0,-121.69701,45.35271,1.218,1884.0,2285.0,3089.0,22.8,160.0,2523.0
27,29,52.0,-121.75638,46.82062,0.021,2544.0,2575.0,2618.0,18.3,177.0,230.0
28,31,16.0,-121.71714,45.36098,3.116,1803.0,2389.0,3142.0,21.6,240.0,3366.0
29,32,38.0,-121.82996,48.74956,2.888,1582.0,2159.0,2967.0,18.6,199.0,4307.0
30,33,57.0,-134.349,58.38,9.528,676.0,1123.0,1494.0,10.0,327.0,6332.0
31,34,22.0,87.697410583,50.061340332,4.412,2489.0,3223.0,3717.0,25.5,48.0,3738.0
32,35,58.0,87.745521545,50.049674988,2.619,2355.0,3301.0,3696.0,19.3,49.0,3827.0
