,RGIId,Farinotti Mean Thickness
0,RGI60-16.00001,
1,RGI60-16.00002,
2,RGI60-16.00003,
3,RGI60-16.00004,
4,RGI60-16.00005,
5,RGI60-16.00006,
6,RGI60-16.00007,
7,RGI60-16.00008,
8,RGI60-16.00009,
9,RGI60-16.00010,
10,RGI60-16.00011,
11,RGI60-16.00012,
12,RGI60-16.00013,
13,RGI60-16.00014,
14,RGI60-16.00015,
15,RGI60-16.00016,
16,RGI60-16.00017,
17,RGI60-16.00018,
18,RGI60-16.00019,
19,RGI60-16.00020,
20,RGI60-16.00021,
21,RGI60-16.00022,
22,RGI60-16.00023,
23,RGI60-16.00024,
24,RGI60-16.00025,
25,RGI60-16.00026,
26,RGI60-16.00027,
27,RGI60-16.00028,
28,RGI60-16.00029,
29,RGI60-16.00030,
30,RGI60-16.00031,
31,RGI60-16.00032,
32,RGI60-16.00033,
33,RGI60-16.00034,
34,RGI60-16.00035,
35,RGI60-16.00036,
36,RGI60-16.00037,
37,RGI60-16.00038,
38,RGI60-16.00039,
39,RGI60-16.00040,
40,RGI60-16.00041,
41,RGI60-16.00042,
42,RGI60-16.00043,
43,RGI60-16.00044,
44,RGI60-16.00045,
45,RGI60-16.00046,
46,RGI60-16.00047,
47,RGI60-16.00048,
48,RGI60-16.00049,
49,RGI60-16.00050,
50,RGI60-16.00051,
51,RGI60-16.00052,
52,RGI60-16.00053,
53,RGI60-16.00054,
54,RGI60-16.00055,
55,RGI60-16.00056,
56,RGI60-16.00057,
57,RGI60-16.00058,
58,RGI60-16.00059,
59,RGI60-16.00060,
60,RGI60-16.00061,
61,RGI60-16.00062,
62,RGI60-16.00063,
63,RGI60-16.00064,
64,RGI60-16.00065,
65,RGI60-16.00066,
66,RGI60-16.00067,
67,RGI60-16.00068,
68,RGI60-16.00069,
69,RGI60-16.00070,
70,RGI60-16.00071,
71,RGI60-16.00072,
72,RGI60-16.00073,
73,RGI60-16.00074,
74,RGI60-16.00075,
75,RGI60-16.00076,
76,RGI60-16.00077,
77,RGI60-16.00078,
78,RGI60-16.00079,
79,RGI60-16.00080,
80,RGI60-16.00081,
81,RGI60-16.00082,
82,RGI60-16.00083,
83,RGI60-16.00084,
84,RGI60-16.00085,
85,RGI60-16.00086,
86,RGI60-16.00087,
87,RGI60-16.00088,
88,RGI60-16.00089,
89,RGI60-16.00090,
90,RGI60-16.00091,
91,RGI60-16.00092,
92,RGI60-16.00093,
93,RGI60-16.00094,
94,RGI60-16.00095,
95,RGI60-16.00096,
96,RGI60-16.00097,
97,RGI60-16.00098,
98,RGI60-16.00099,
99,RGI60-16.00100,
100,RGI60-16.00101,
101,RGI60-16.00102,
102,RGI60-16.00103,
103,RGI60-16.00104,
104,RGI60-16.00105,
105,RGI60-16.00106,
106,RGI60-16.00107,
107,RGI60-16.00108,
108,RGI60-16.00109,
109,RGI60-16.00110,
110,RGI60-16.00111,
111,RGI60-16.00112,
112,RGI60-16.00113,
113,RGI60-16.00114,
114,RGI60-16.00115,
115,RGI60-16.00116,
116,RGI60-16.00117,
117,RGI60-16.00118,
118,RGI60-16.00119,
119,RGI60-16.00120,
120,RGI60-16.00121,
121,RGI60-16.00122,
122,RGI60-16.00123,
123,RGI60-16.00124,
124,RGI60-16.00125,
125,RGI60-16.00126,
126,RGI60-16.00127,
127,RGI60-16.00128,
128,RGI60-16.00129,
129,RGI60-16.00130,
130,RGI60-16.00131,
131,RGI60-16.00132,
132,RGI60-16.00133,
133,RGI60-16.00134,
134,RGI60-16.00135,
135,RGI60-16.00136,
136,RGI60-16.00137,
137,RGI60-16.00138,
138,RGI60-16.00139,
139,RGI60-16.00140,
140,RGI60-16.00141,
141,RGI60-16.00142,
142,RGI60-16.00143,
143,RGI60-16.00144,
144,RGI60-16.00145,
145,RGI60-16.00146,
146,RGI60-16.00147,
147,RGI60-16.00148,
148,RGI60-16.00149,
149,RGI60-16.00150,
150,RGI60-16.00151,
151,RGI60-16.00152,
152,RGI60-16.00153,
153,RGI60-16.00154,
154,RGI60-16.00155,
155,RGI60-16.00156,
156,RGI60-16.00157,
157,RGI60-16.00158,
158,RGI60-16.00159,
159,RGI60-16.00160,
160,RGI60-16.00161,
161,RGI60-16.00162,
162,RGI60-16.00163,
163,RGI60-16.00164,
164,RGI60-16.00165,
165,RGI60-16.00166,
166,RGI60-16.00167,
167,RGI60-16.00168,
168,RGI60-16.00169,
169,RGI60-16.00170,
170,RGI60-16.00171,
171,RGI60-16.00172,
172,RGI60-16.00173,
173,RGI60-16.00174,
174,RGI60-16.00175,
175,RGI60-16.00176,
176,RGI60-16.00177,
177,RGI60-16.00178,
178,RGI60-16.00179,
179,RGI60-16.00180,
180,RGI60-16.00181,
181,RGI60-16.00182,
182,RGI60-16.00183,
183,RGI60-16.00184,
184,RGI60-16.00185,
185,RGI60-16.00186,
186,RGI60-16.00187,
187,RGI60-16.00188,
188,RGI60-16.00189,
189,RGI60-16.00190,
190,RGI60-16.00191,
191,RGI60-16.00192,
192,RGI60-16.00193,
193,RGI60-16.00194,
194,RGI60-16.00195,
195,RGI60-16.00196,
196,RGI60-16.00197,
197,RGI60-16.00198,
198,RGI60-16.00199,
199,RGI60-16.00200,
200,RGI60-16.00201,
201,RGI60-16.00202,
202,RGI60-16.00203,
203,RGI60-16.00204,
204,RGI60-16.00205,
205,RGI60-16.00206,
206,RGI60-16.00207,
207,RGI60-16.00208,
208,RGI60-16.00209,
209,RGI60-16.00210,
210,RGI60-16.00211,
211,RGI60-16.00212,
212,RGI60-16.00213,
213,RGI60-16.00214,
214,RGI60-16.00215,
215,RGI60-16.00216,
216,RGI60-16.00217,
217,RGI60-16.00218,
218,RGI60-16.00219,
219,RGI60-16.00220,
220,RGI60-16.00221,
221,RGI60-16.00222,
222,RGI60-16.00223,
223,RGI60-16.00224,
224,RGI60-16.00225,
225,RGI60-16.00226,
226,RGI60-16.00227,
227,RGI60-16.00228,
228,RGI60-16.00229,
229,RGI60-16.00230,
230,RGI60-16.00231,
231,RGI60-16.00232,
232,RGI60-16.00233,
233,RGI60-16.00234,
234,RGI60-16.00235,
235,RGI60-16.00236,
236,RGI60-16.00237,
237,RGI60-16.00238,
238,RGI60-16.00239,
239,RGI60-16.00240,
240,RGI60-16.00241,
241,RGI60-16.00242,
242,RGI60-16.00243,
243,RGI60-16.00244,
244,RGI60-16.00245,
245,RGI60-16.00246,
246,RGI60-16.00247,
247,RGI60-16.00248,
248,RGI60-16.00249,
249,RGI60-16.00250,
250,RGI60-16.00251,
251,RGI60-16.00252,
252,RGI60-16.00253,
253,RGI60-16.00254,
254,RGI60-16.00255,
255,RGI60-16.00256,
256,RGI60-16.00257,
257,RGI60-16.00258,
258,RGI60-16.00259,
259,RGI60-16.00260,
260,RGI60-16.00261,
261,RGI60-16.00262,
262,RGI60-16.00263,
263,RGI60-16.00264,
264,RGI60-16.00265,
265,RGI60-16.00266,
266,RGI60-16.00267,
267,RGI60-16.00268,
268,RGI60-16.00269,
269,RGI60-16.00270,
270,RGI60-16.00271,
271,RGI60-16.00272,
272,RGI60-16.00273,
273,RGI60-16.00274,
274,RGI60-16.00275,
275,RGI60-16.00276,
276,RGI60-16.00277,
277,RGI60-16.00278,
278,RGI60-16.00279,
279,RGI60-16.00280,
280,RGI60-16.00281,
281,RGI60-16.00282,
282,RGI60-16.00283,
283,RGI60-16.00284,
284,RGI60-16.00285,
285,RGI60-16.00286,
286,RGI60-16.00287,
287,RGI60-16.00288,
288,RGI60-16.00289,
289,RGI60-16.00290,
290,RGI60-16.00291,
291,RGI60-16.00292,
292,RGI60-16.00293,
293,RGI60-16.00294,
294,RGI60-16.00295,
295,RGI60-16.00296,
296,RGI60-16.00297,
297,RGI60-16.00298,
298,RGI60-16.00299,
299,RGI60-16.00300,
300,RGI60-16.00301,
301,RGI60-16.00302,
302,RGI60-16.00303,
303,RGI60-16.00304,
304,RGI60-16.00305,
305,RGI60-16.00306,
306,RGI60-16.00307,
307,RGI60-16.00308,
308,RGI60-16.00309,
309,RGI60-16.00310,
310,RGI60-16.00311,
311,RGI60-16.00312,
312,RGI60-16.00313,
313,RGI60-16.00314,
314,RGI60-16.00315,
315,RGI60-16.00316,
316,RGI60-16.00317,
317,RGI60-16.00318,
318,RGI60-16.00319,
319,RGI60-16.00320,
320,RGI60-16.00321,
321,RGI60-16.00322,
322,RGI60-16.00323,
323,RGI60-16.00324,
324,RGI60-16.00325,
325,RGI60-16.00326,
326,RGI60-16.00327,
327,RGI60-16.00328,
328,RGI60-16.00329,
329,RGI60-16.00330,
330,RGI60-16.00331,
331,RGI60-16.00332,
332,RGI60-16.00333,
333,RGI60-16.00334,
334,RGI60-16.00335,
335,RGI60-16.00336,
336,RGI60-16.00337,
337,RGI60-16.00338,
338,RGI60-16.00339,
339,RGI60-16.00340,
340,RGI60-16.00341,
341,RGI60-16.00342,
342,RGI60-16.00343,
343,RGI60-16.00344,
344,RGI60-16.00345,
345,RGI60-16.00346,
346,RGI60-16.00347,
347,RGI60-16.00348,
348,RGI60-16.00349,
349,RGI60-16.00350,
350,RGI60-16.00351,
351,RGI60-16.00352,
352,RGI60-16.00353,
353,RGI60-16.00354,
354,RGI60-16.00355,
355,RGI60-16.00356,
356,RGI60-16.00357,
357,RGI60-16.00358,
358,RGI60-16.00359,
359,RGI60-16.00360,
360,RGI60-16.00361,
361,RGI60-16.00362,
362,RGI60-16.00363,
363,RGI60-16.00364,
364,RGI60-16.00365,
365,RGI60-16.00366,
366,RGI60-16.00367,
367,RGI60-16.00368,
368,RGI60-16.00369,
369,RGI60-16.00370,
370,RGI60-16.00371,
371,RGI60-16.00372,
372,RGI60-16.00373,
373,RGI60-16.00374,
374,RGI60-16.00375,
375,RGI60-16.00376,
376,RGI60-16.00377,
377,RGI60-16.00378,
378,RGI60-16.00379,
379,RGI60-16.00380,
380,RGI60-16.00381,
381,RGI60-16.00382,
382,RGI60-16.00383,
383,RGI60-16.00384,
384,RGI60-16.00385,
385,RGI60-16.00386,
386,RGI60-16.00387,
387,RGI60-16.00388,
388,RGI60-16.00389,
389,RGI60-16.00390,
390,RGI60-16.00391,
391,RGI60-16.00392,
392,RGI60-16.00393,
393,RGI60-16.00394,
394,RGI60-16.00395,
395,RGI60-16.00396,
396,RGI60-16.00397,
397,RGI60-16.00398,
398,RGI60-16.00399,
399,RGI60-16.00400,
400,RGI60-16.00401,
401,RGI60-16.00402,
402,RGI60-16.00403,
403,RGI60-16.00404,
404,RGI60-16.00405,
405,RGI60-16.00406,
406,RGI60-16.00407,
407,RGI60-16.00408,
408,RGI60-16.00409,
409,RGI60-16.00410,
410,RGI60-16.00411,
411,RGI60-16.00412,
412,RGI60-16.00413,
413,RGI60-16.00414,
414,RGI60-16.00415,
415,RGI60-16.00416,
416,RGI60-16.00417,
417,RGI60-16.00418,
418,RGI60-16.00419,
419,RGI60-16.00420,
420,RGI60-16.00421,
421,RGI60-16.00422,
422,RGI60-16.00423,
423,RGI60-16.00424,
424,RGI60-16.00425,
425,RGI60-16.00426,
426,RGI60-16.00427,
427,RGI60-16.00428,
428,RGI60-16.00429,
429,RGI60-16.00430,
430,RGI60-16.00431,
431,RGI60-16.00432,
432,RGI60-16.00433,
433,RGI60-16.00434,
434,RGI60-16.00435,
435,RGI60-16.00436,
436,RGI60-16.00437,
437,RGI60-16.00438,
438,RGI60-16.00439,
439,RGI60-16.00440,
440,RGI60-16.00441,
441,RGI60-16.00442,
442,RGI60-16.00443,
443,RGI60-16.00444,
444,RGI60-16.00445,
445,RGI60-16.00446,
446,RGI60-16.00447,
447,RGI60-16.00448,
448,RGI60-16.00449,
449,RGI60-16.00450,
450,RGI60-16.00451,
451,RGI60-16.00452,
452,RGI60-16.00453,
453,RGI60-16.00454,
454,RGI60-16.00455,
455,RGI60-16.00456,
456,RGI60-16.00457,
457,RGI60-16.00458,
458,RGI60-16.00459,
459,RGI60-16.00460,
460,RGI60-16.00461,
461,RGI60-16.00462,
462,RGI60-16.00463,
463,RGI60-16.00464,
464,RGI60-16.00465,
465,RGI60-16.00466,
466,RGI60-16.00467,
467,RGI60-16.00468,
468,RGI60-16.00469,
469,RGI60-16.00470,
470,RGI60-16.00471,
471,RGI60-16.00472,
472,RGI60-16.00473,
473,RGI60-16.00474,
474,RGI60-16.00475,
475,RGI60-16.00476,
476,RGI60-16.00477,
477,RGI60-16.00478,
