,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
0,-66.856,-67.481,64.608,7.8,132.95967,34.314392
1,-67.6507,-64.7861,12.106,11.1,80.46711,20.218142
2,-67.6569,-64.8917,13.364,15.8,79.680374,19.879213
3,-67.6357,-64.8772,0.02,9.8,74.93974,18.522291
4,-67.6281,-64.935,21.853,9.9,86.330696,22.962736
5,-67.2301,-67.6485,17.126,11.6,82.34109,20.993069
6,-67.8429,-67.1959,8.188,10.0,78.53372,19.529411
7,-67.8597,-67.2345,0.099,18.9,71.5842,17.952171
8,-67.882,-67.2354,9.115,18.9,76.378555,18.819273
9,-67.8685,-67.2697,3.421,18.8,73.48585,18.497478
10,-67.244,-67.7435,9.271,14.1,77.3857,19.017675
11,-67.2677,-67.7344,18.712,11.0,83.43562,21.519367
12,-67.6029,-67.4867,6.784,11.8,77.05427,19.024832
13,-67.0602,-67.5767,6.558,19.5,74.319084,18.380302
14,-67.6314,-67.5615,22.374,11.4,85.74627,22.672888
15,-67.7598,-67.4351,10.722,13.9,78.57079,19.412476
16,-67.7661,-67.5041,18.476,14.2,82.63514,21.09092
17,-67.6572,-67.6973,0.059,2.0,77.20821,19.042282
18,-67.6628,-67.6733,0.023,7.3,75.36047,18.45333
19,-67.6618,-67.6422,30.875,10.6,91.93359,25.55098
20,-67.7494,-67.626,0.07,8.5,75.02751,18.395126
21,-67.7727,-67.5598,0.031,4.2,76.52985,18.778004
22,-67.7618,-67.6266,24.811,13.0,86.804016,23.23548
23,-67.7066,-67.5642,55.027,9.7,117.79105,32.521328
24,-67.687,-67.7428,6.099,7.2,78.24839,19.351072
25,-67.7333,-67.7026,5.189,15.5,75.191925,18.616823
26,-67.0869,-67.5789,5.083,20.0,73.442696,18.308863
27,-67.0729,-67.6151,5.894,18.1,74.391014,18.389633
28,-67.1897,-68.5036,2549.892,3.5,4945.443,877.2535
29,-67.5368,-66.8763,9.801,18.8,76.59808,18.850235
30,-67.5615,-66.9632,7.701,9.9,78.16583,19.428535
