,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,47.4949,13.5987,19.9,2191,2338,0.122,334,461,57.523636,54.50642
1,47.4845,13.6135,18.6,2203,2855,2.292,49,1853,108.31814,27.86775
2,47.4835,13.596,17.8,2280,2691,0.851,314,1140,49.786903,29.397753
3,47.4807,13.5829,32.4,2319,2562,0.053,306,382,48.89559,41.21195
4,47.4774,13.6026,25.4,2656,2778,0.057,291,202,41.491024,41.94512
5,47.4708,13.6304,14.0,2450,2681,0.908,33,816,93.062744,36.062325
6,47.4735,13.6143,22.6,2650,2690,0.014,186,103,45.39752,45.743076
7,47.4288,13.0368,23.0,2580,2744,0.169,28,415,90.8993,39.54553
8,47.4247,13.0484,12.2,2664,2809,0.327,6,813,98.50695,36.410667
9,47.4248,13.0783,10.3,2645,2689,0.036,41,247,85.52331,43.38023
10,47.4254,13.0419,15.1,2694,2821,0.037,15,501,93.497635,39.01603
11,47.4242,13.0581,12.1,2710,2828,0.197,21,549,90.805176,38.891354
12,47.198,12.7528,28.3,2499,2763,0.081,62,446,82.67286,40.8023
13,47.1953,12.6823,17.7,2494,2929,0.912,27,1230,101.64717,33.614693
14,47.1964,12.6737,17.9,2770,2889,0.076,43,403,81.646126,41.12767
15,47.1935,12.7581,27.8,2416,2574,0.032,40,292,91.06717,41.12567
16,47.1897,12.7572,34.4,2605,2966,0.102,25,529,95.02606,37.2357
17,47.1916,12.6916,24.7,2763,2968,0.103,62,494,78.341576,41.679905
18,47.1848,12.6802,18.0,2605,2831,0.295,271,506,42.054256,37.693974
19,47.183,12.7578,35.4,3110,3225,0.017,294,168,37.25706,41.822937
20,47.1766,12.7675,32.2,2323,3027,0.645,99,1306,92.64489,34.205975
21,47.1893,12.3863,17.6,2618,2792,0.26,24,805,93.59259,37.279694
22,47.1784,12.6836,17.7,2817,2876,0.055,80,182,68.74777,42.906937
23,47.1827,12.3982,25.6,2805,2959,0.074,312,309,39.944393,39.572647
24,47.1648,12.7508,27.1,2302,3199,0.571,356,1873,68.82154,27.339544
25,47.1724,12.6766,24.4,2605,2766,0.044,334,340,46.427246,43.32122
26,47.1644,12.766,27.2,2724,3039,0.157,100,603,70.63748,42.95808
27,47.1631,12.6785,20.7,2669,3137,0.381,10,1195,105.97873,35.045734
28,47.1641,12.7448,34.0,2714,3064,0.072,353,429,45.152607,33.821415
29,47.1615,12.7761,34.7,2344,2617,0.036,147,212,59.342247,42.944748
30,47.1613,12.6697,23.0,2590,2898,0.272,327,566,44.28031,34.099876
31,47.1631,12.6897,22.0,2681,2804,0.043,59,215,78.130226,42.37947
32,47.1608,12.7616,36.7,3057,3262,0.037,77,280,69.78158,42.090843
33,47.1779,12.1348,19.2,2679,2870,0.125,13,456,94.37203,37.712067
34,47.1595,12.7569,32.5,3315,3449,0.025,348,152,37.11609,39.78034
35,47.1571,12.7432,25.5,2912,3332,0.306,299,741,46.712017,38.445877
36,47.1725,12.3401,37.2,2680,2806,0.013,28,246,87.25893,39.83592
37,47.1586,12.6835,28.7,2669,3015,0.293,122,617,65.73674,43.639168
38,47.1747,12.1413,21.3,2830,3006,0.065,63,358,75.71988,42.213566
39,47.1634,12.3506,33.9,2673,2999,0.138,46,358,85.205315,39.48419
40,47.1511,12.752,24.0,2768,3432,0.523,124,1366,81.73267,35.379246
41,47.1719,12.0875,19.7,2719,2830,0.058,65,414,76.35504,41.82367
42,47.1699,12.1428,32.0,2717,2983,0.117,73,540,76.95686,41.44748
43,47.1701,12.2199,37.1,2671,2751,0.014,29,127,86.677765,40.443848
44,47.1499,12.7384,36.8,3048,3502,0.14,313,500,46.2662,39.65333
45,47.1528,12.6781,26.6,2594,2938,0.207,125,691,66.564514,43.51601
46,47.1386,12.7194,21.1,2307,3253,2.273,342,2336,71.01529,21.57241
47,47.1492,12.7699,33.3,2020,2293,0.074,103,491,78.95041,39.024654
48,47.1398,12.7411,27.2,2432,3490,1.399,110,2601,112.62183,25.774845
49,47.1647,12.1491,29.4,2615,2954,0.245,47,591,87.6712,38.83161
50,47.1591,12.3534,37.5,2809,3012,0.035,73,168,72.11268,42.753834
51,47.157,12.3998,26.3,2670,2775,0.032,284,190,41.162933,42.6711
52,47.1569,12.3562,42.0,2689,2984,0.058,79,372,74.76208,42.10553
53,47.1487,12.3717,27.1,2359,3196,2.274,17,1765,118.31378,28.93723
54,47.1562,12.4033,30.6,2660,2752,0.019,93,177,67.09763,42.67953
55,47.1466,12.6658,19.6,2638,2787,0.143,340,453,46.33519,42.71302
56,47.1563,12.3493,23.3,2750,2806,0.011,258,125,39.663063,43.929996
57,47.1541,12.3963,37.2,2672,2771,0.013,328,158,45.202354,46.24447
58,47.1514,12.4317,26.9,2713,2841,0.056,310,190,41.855736,42.47402
59,47.1519,12.4025,30.8,2668,2901,0.114,83,413,73.02466,42.066914
60,47.1523,12.3914,30.1,2595,2831,0.086,333,466,45.25962,38.15594
61,47.1458,12.3086,27.4,2552,3196,1.324,45,1238,99.3826,32.1152
