,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,67.93,33.83,5.8,235,242,250,0.03,55,180,148.61374,89.96536
1,67.87,33.5,5.7,228,239,246,0.03,352,177,112.960945,74.9998
2,67.82,33.75,18.8,701,726,749,0.02,341,135,92.818016,53.440887
3,67.83,33.77,20.1,671,696,725,0.02,329,125,93.419685,53.488796
4,67.139,16.345,8.5,926,1268,1807,21.469,152,9308,89.19587,13.92652
5,68.083,18.055,7.5,1160,1399,1468,4.886,96,1920,84.96993,20.453108
6,68.104,18.153,10.2,1138,1171,1215,0.137,138,512,79.391205,48.43506
7,68.145,18.166,17.0,1153,1261,1403,0.531,68,890,102.96052,46.354725
8,68.118,18.206,16.4,1219,1394,1480,0.734,123,879,84.27676,33.635975
9,68.122,18.085,14.2,1254,1329,1423,0.303,13,814,126.894394,61.06697
10,68.105,18.099,6.5,1434,1484,1532,0.374,193,832,61.55033,31.385548
11,68.567,18.446,19.7,1018,1120,1179,0.135,121,423,87.67443,49.121113
12,68.545,18.332,11.3,1037,1117,1263,1.048,76,1095,98.18325,45.48885
13,67.775,16.813,22.4,1162,1336,1452,0.563,35,662,118.94608,52.332043
14,67.135,16.471,7.7,1097,1352,1701,11.306,145,5416,69.31549,12.075782
15,67.154,16.444,26.2,1204,1436,1833,0.906,40,1399,122.921974,38.627945
16,67.187,16.697,21.2,1279,1402,1644,0.808,122,1012,81.85662,30.615911
17,67.227,16.893,31.1,1257,1376,1538,0.109,53,496,110.7952,49.77885
18,67.365,17.317,13.3,1252,1433,1636,1.069,301,1893,56.443413,21.536526
19,67.217,16.914,20.9,1329,1455,1487,0.133,41,337,116.22498,57.506073
20,67.41,17.443,11.3,1092,1371,1679,5.591,32,4196,139.37996,23.663187
21,67.362,17.392,25.4,1155,1431,1655,0.44,27,1152,129.082,44.478935
22,67.262,17.353,24.4,1320,1497,1628,0.286,36,845,119.12707,48.443493
23,67.302,17.444,13.9,1191,1379,1744,2.547,152,2282,80.01998,22.606197
24,67.369,17.33,23.6,1288,1533,1598,0.286,42,736,118.87462,47.659237
25,67.292,17.341,17.3,1312,1538,1719,0.88,75,1391,104.15418,35.723743
26,67.298,17.312,19.2,1285,1477,1642,0.684,57,1166,109.41587,41.3962
27,67.352,16.999,13.3,1220,1316,1426,0.377,122,928,82.72771,38.390232
28,67.357,17.458,21.0,1282,1511,1641,0.425,42,973,117.8283,45.260426
29,67.508,17.315,24.6,1170,1419,1659,0.645,50,1309,116.7704,39.854626
30,67.424,17.421,10.7,1226,1380,1524,1.617,353,1421,52.01013,18.90062
31,67.393,17.49,14.8,1162,1402,1655,1.811,132,2090,87.29098,26.240088
32,67.313,17.413,15.9,1289,1454,1727,0.693,359,1504,54.46913,21.725273
33,67.392,17.435,17.1,1132,1291,1458,0.742,140,1096,78.98697,31.333492
34,67.297,17.275,15.6,1333,1460,1562,0.437,14,677,126.24404,56.81727
35,67.315,17.43,21.1,1511,1637,1697,0.288,359,615,53.172955,22.639261
36,67.25,17.421,12.9,1388,1567,1894,1.633,135,1672,83.38016,26.43885
37,67.361,17.362,19.2,1277,1454,1729,0.822,162,1246,74.729485,27.376242
38,67.21,17.382,25.2,1263,1363,1475,0.151,108,460,88.49219,41.870815
39,67.241,17.379,12.0,1248,1483,1867,3.137,143,2678,87.316414,21.697504
40,67.217,17.346,18.7,1436,1566,1726,0.541,114,935,85.373055,32.39881
41,67.258,17.393,12.4,1106,1514,1828,2.968,57,3589,138.8341,29.557192
42,67.323,17.489,16.0,1379,1511,1696,0.564,329,1270,52.510338,22.074026
43,67.228,17.34,22.5,1338,1452,1734,0.452,68,998,102.46854,39.49677
44,67.351,17.415,13.8,1099,1353,1600,3.166,6,2341,139.6472,35.725628
45,67.158,17.218,22.8,1244,1375,1483,0.292,90,764,95.8313,42.473747
46,67.187,17.322,20.3,1412,1495,1644,0.236,131,644,78.40455,33.844345
47,66.991,17.069,24.2,1443,1538,1678,0.289,59,581,105.02004,46.116558
48,67.779,17.922,13.2,1257,1317,1493,0.49,41,827,111.52629,51.62828
49,67.909,17.47,24.1,1127,1302,1464,0.827,78,778,99.79852,40.40452
50,67.9,17.5,16.7,1340,1404,1503,0.246,92,576,91.895355,44.377895
51,67.785,17.917,27.3,1262,1374,1545,0.289,99,679,91.60525,38.342094
52,67.798,17.917,15.3,1148,1340,1495,1.788,55,1568,107.733475,38.45163
53,67.719,17.833,24.1,1386,1504,1610,0.123,67,440,103.43039,46.65868
54,67.577,17.405,25.0,1416,1668,1813,0.463,26,1242,128.31715,44.889503
55,67.709,17.831,16.7,1235,1365,1599,1.024,86,1429,95.44328,34.754692
56,67.583,17.468,17.3,1394,1601,1954,1.189,14,2029,137.8186,42.8839
57,67.573,17.486,25.4,1228,1477,1851,0.546,151,1542,87.04265,28.347715
58,67.722,17.713,17.1,1372,1510,1576,0.319,53,727,109.491325,48.670967
59,67.716,17.737,13.1,1291,1384,1462,0.359,42,654,113.26172,54.890636
60,67.581,17.5,21.7,1317,1671,1972,0.765,105,1740,107.53127,31.319473
61,67.703,17.84,23.5,1291,1442,1623,0.228,33,791,119.1831,49.0197
62,67.569,17.399,26.3,1246,1482,1703,0.479,147,1053,81.85065,28.519644
63,67.686,17.931,16.0,1390,1543,1626,0.283,75,832,101.09142,42.42154
64,67.683,17.944,19.4,1359,1445,1550,0.131,37,506,115.61863,54.848793
65,67.686,17.875,20.9,1295,1379,1540,0.46,105,800,87.48175,37.34706
66,67.686,17.875,17.1,1542,1690,1724,0.243,56,486,107.652756,47.009247
67,67.576,17.386,25.3,1182,1571,1756,0.629,19,1555,140.71593,42.189083
68,67.592,17.507,16.9,1571,1625,1698,0.136,1,438,129.27795,61.508633
69,67.572,17.47,26.7,1224,1507,1877,0.584,153,1407,87.818665,28.09948
70,67.722,17.811,23.2,1348,1544,1678,0.312,54,758,111.15146,43.849632
71,67.577,17.431,14.6,1160,1457,1753,2.421,38,3143,136.52919,34.296055
72,67.588,17.511,14.5,1579,1681,1774,0.271,90,728,92.79928,38.798203
73,67.695,17.858,22.4,1259,1403,1600,0.532,50,1040,110.83863,44.162735
74,67.715,17.791,14.3,1245,1557,1733,2.062,174,1971,79.32969,23.405811
75,67.301,17.846,21.6,1380,1478,1597,0.191,58,641,106.52768,48.165558
76,67.327,17.494,24.7,1672,1811,1930,0.256,358,453,52.096066,22.882008
