,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,81.0237,-68.0302,9.0,348,918,1206,5.123,146,5401,858,74.95661,3.7693682,78.25373,71.80572,78.86395,77.75835,76.446236,76.84326,75.52417,78.51825,76.2805,77.434044,69.49013,69.81307,77.097336,74.16955,69.48571,77.075035,70.83696,70.83863,80.124054,76.30686,72.36145,65.46556,79.73752,76.19365,77.19151
1,81.1403,-68.8844,19.0,759,1028,1241,0.569,8,1810,482,38.05652,2.4114625,39.07427,38.40247,38.463856,40.715027,37.37472,36.788967,39.71749,40.69601,40.123837,38.502262,36.989628,33.513535,39.40023,37.542824,31.784092,35.663296,37.80749,39.987267,40.487885,39.804382,38.41889,33.001,40.960014,36.527847,39.665737
2,80.9223,-69.1043,7.4,536,889,1024,3.736,11,4792,488,71.6794,3.4184203,74.32333,70.02098,72.25401,70.2834,73.93066,71.07687,70.45486,76.68947,71.886856,75.34059,65.0845,64.05602,74.735725,72.7937,69.16594,73.3473,71.983604,69.37932,75.97154,72.33094,72.143036,63.374866,75.82325,73.21598,72.31809
3,80.8772,-69.2006,13.1,954,1135,1389,2.259,305,2974,435,46.279835,2.3058205,47.12637,43.892483,48.27737,45.07997,48.13822,47.906097,49.92059,49.21537,45.765713,47.42342,43.89326,43.32381,44.905495,46.05483,43.17261,47.61423,46.79737,46.36709,48.11285,47.75324,45.180935,39.207626,48.59152,47.376827,45.898525
4,80.8687,-69.2585,10.1,750,1109,1372,4.057,29,3673,622,61.092228,3.004789,62.00998,60.192417,61.928455,60.732613,61.94003,61.284782,60.400696,65.17597,61.33138,64.55414,56.06567,54.02571,64.77081,61.265385,58.451714,63.029655,60.03009,59.45701,64.95368,61.973034,61.14167,53.764236,65.523834,62.06398,61.23873
5,80.8591,-69.1875,13.6,814,990,1113,0.419,116,1493,299,38.57229,2.3301573,37.848656,38.094063,37.18431,39.051666,39.38202,37.101,40.6436,42.49684,38.796627,39.97855,35.49648,33.004616,39.714603,39.3598,36.094585,40.34102,38.330734,40.270195,41.45404,38.990574,39.284504,32.378014,40.444607,38.32739,40.23869
6,80.864,-69.3243,12.0,1060,1243,1406,3.763,55,2437,346,45.384552,2.3327675,44.961967,45.269936,44.777077,44.539173,45.206238,44.446194,46.15329,48.825912,44.865753,47.80985,42.142548,39.28026,47.60104,46.675873,43.62456,46.741592,45.940063,46.52975,48.380005,46.419674,45.097248,39.318108,47.941242,46.196163,45.870186
7,80.883,-69.3642,17.4,848,1073,1312,1.268,18,1602,464,38.587276,2.3116195,38.82063,38.86739,38.701454,40.834335,38.244633,37.104866,39.738457,41.288956,40.55834,39.698994,37.15455,33.592644,40.106586,38.366074,33.3118,36.875305,38.63802,40.26866,40.96566,40.38856,38.887417,33.3519,41.786556,37.39252,39.73761
8,80.875,-69.4072,18.2,879,1087,1266,0.713,313,1309,387,33.459538,1.979869,34.469685,33.3601,33.233208,33.023796,35.311947,34.25497,35.270428,34.828735,34.811874,34.013256,31.22773,30.430494,29.541979,32.113792,31.538507,35.116806,36.27457,36.394817,35.449234,32.860893,33.375893,28.463617,33.076057,33.310608,34.735394
9,80.8888,-69.4148,19.5,867,1088,1255,0.476,5,1150,388,34.85582,2.3096645,36.17733,35.056854,35.39266,37.184654,34.1834,33.03413,37.00519,36.597794,37.159817,34.337036,34.014637,30.964016,35.046066,34.42689,28.84325,31.476604,35.48832,37.49572,37.546135,36.430023,35.421803,30.963655,37.60028,33.174725,36.374474
10,80.9788,-69.7834,8.3,497,1159,1458,25.559,347,12390,961,104.64287,4.0803657,106.93354,100.04399,112.677414,103.79679,106.806755,102.58444,104.59854,107.32868,106.03869,102.35674,101.28018,102.8698,106.57447,107.30459,98.975105,106.94262,99.639984,102.944756,111.498924,105.012924,101.82493,94.60311,111.80805,106.407646,105.21892
11,80.9836,-69.9346,10.2,909,1122,1225,4.427,319,1721,316,49.258297,2.58016,49.57171,47.781986,51.71064,47.358627,50.806152,51.34363,53.210594,53.156796,47.806957,50.49629,47.191578,46.634228,47.856453,48.771374,45.887604,51.27195,48.368355,49.162323,50.418682,50.96067,49.134777,40.83225,52.052876,49.743908,49.92705
12,81.129,-68.7934,12.0,616,1065,1410,6.962,357,5098,794,68.1741,2.821458,68.39485,65.65341,72.19609,67.42084,71.23014,68.751884,70.49234,68.8239,68.37155,67.86625,66.45399,66.825935,67.84655,69.77887,64.48486,70.26422,66.38503,66.80068,70.48044,69.41411,64.78587,59.787766,74.54699,68.71984,68.57622
13,80.9364,-70.0664,7.4,595,1301,1559,85.034,348,14350,964,113.31849,4.5929193,116.24939,108.1167,122.22565,112.367004,114.68345,110.05766,112.38237,116.72275,115.57379,110.20549,108.60691,111.63013,116.34082,116.5361,106.86444,116.65105,106.89376,111.73214,121.25411,112.8543,112.16051,102.76935,120.201584,115.98821,113.89462
14,80.9374,-69.6664,11.9,1172,1365,1417,0.654,154,562,245,35.69462,2.3070912,34.627834,36.037167,33.600876,34.501286,35.69448,35.13225,37.816467,39.099667,35.33315,36.806145,33.15567,30.200968,36.45622,36.68191,33.68941,37.767117,35.37588,37.57108,38.73105,35.58947,35.789604,29.99426,37.89872,35.727333,39.087456
15,80.927,-69.7046,14.2,802,1160,1396,2.497,106,3321,594,45.454243,2.6739428,46.12851,43.96468,45.976067,46.892937,46.166943,45.46247,47.28239,49.54574,45.27434,47.91916,42.526745,40.323097,47.54184,45.2371,42.29153,46.748863,43.304066,45.28971,49.17689,46.547173,44.289856,37.516853,48.783726,45.842064,46.32336
16,80.9184,-69.7859,13.1,907,1326,1379,1.569,141,1797,472,40.486095,2.456469,39.94313,39.168003,39.968258,41.169697,41.08193,40.184097,42.810097,43.750515,40.185448,42.245502,37.883095,35.464367,42.33965,40.856766,38.09121,42.547577,38.93068,41.314137,43.539223,41.141403,39.682796,33.077477,43.562492,40.494022,42.720825
17,80.9051,-69.8307,10.7,886,1189,1440,5.399,84,4072,554,55.745487,2.7745037,56.712963,54.07405,56.89132,55.50229,56.82344,56.11954,56.64279,59.492973,55.30776,58.39353,51.577545,49.807983,58.333546,55.8051,53.12441,57.597588,54.329372,54.669495,60.292168,56.39733,55.28888,48.196083,59.133907,56.770546,56.35248
18,80.8941,-69.7787,17.9,1008,1115,1257,0.375,75,707,249,29.606457,2.0561419,30.893997,30.203415,28.64698,31.68808,29.810617,26.424856,30.842577,31.60131,32.04746,28.897705,28.632784,25.628637,28.602976,28.980743,25.281887,28.617287,30.446625,32.995018,31.997906,30.753933,29.763012,26.45901,31.705847,28.057333,31.18143
19,81.0123,-70.181,18.7,642,1224,1365,8.205,326,1984,723,42.061016,1.7665588,42.575188,41.772923,42.916595,42.808636,44.389122,42.942547,42.911682,42.23203,43.38588,42.510296,38.987633,40.0445,40.305214,40.27582,40.570576,43.835342,43.608486,44.200848,44.411346,41.450443,40.27581,37.178215,43.590446,42.002575,42.34323
20,80.9847,-70.2948,13.5,404,1163,1367,6.839,312,4472,963,65.56734,2.7585342,66.80677,63.152836,69.263695,66.54171,68.126205,65.94508,66.77349,66.17871,65.79852,65.49181,62.88318,64.39883,66.50739,66.33265,61.781033,66.973755,63.994846,64.343056,68.09858,67.14996,61.06304,57.755825,71.77275,65.70093,66.3487
21,80.97,-70.1924,11.9,1020,1068,1240,1.095,360,1419,220,45.131805,2.3255677,45.884205,44.205486,47.881542,43.076027,46.0707,46.637672,49.585327,49.014378,43.517902,46.108025,43.549538,42.604664,42.221687,44.29154,42.518623,46.041435,46.012856,46.179012,45.99706,45.98886,46.265503,38.12246,46.063084,45.247257,45.2105
22,80.9454,-70.3599,10.0,636,903,1276,6.957,293,3656,640,62.497047,2.9567947,63.951973,60.041054,66.35092,62.727875,65.122314,63.83518,65.216034,64.51472,62.611362,62.79544,60.263855,59.556255,62.46596,63.15643,57.76612,65.43031,60.086124,59.895565,64.03545,64.2076,59.684288,53.851162,67.73013,63.520966,63.60906
23,81.1391,-68.6974,22.3,790,1042,1295,0.781,8,1415,505,33.188766,2.4872665,34.877792,33.850006,34.09036,36.25996,32.466545,31.115124,35.161526,34.93981,35.83281,32.17037,33.35449,30.253443,33.033733,32.575138,26.078806,30.819416,33.29497,36.486885,35.16472,34.80199,33.41466,28.56681,35.40546,30.386354,35.31798
24,80.9207,-70.3556,19.6,772,1237,1544,2.215,323,2556,772,41.542904,1.6536129,41.83947,41.186546,42.046806,42.351665,43.882572,42.433002,42.0892,41.90199,42.68988,41.907124,38.629005,39.631874,40.08038,39.790977,39.959373,42.905964,43.04397,44.040985,43.991978,40.624924,39.548515,37.601303,43.124252,41.552998,41.717903
25,80.9089,-70.3857,14.3,704,1269,1544,4.614,295,3603,840,54.76387,2.4118013,55.674305,52.347427,57.633,55.87077,57.032543,55.84699,56.814697,55.646732,54.793358,54.878845,51.86873,53.30335,55.46554,54.601673,51.38398,56.082977,53.905758,54.42714,57.1911,56.063988,50.77158,47.785675,59.268974,55.255592,55.18197
26,80.8792,-70.3778,9.8,547,1170,1449,22.627,331,8577,902,85.56656,3.4196799,87.19093,81.70376,91.55917,85.61134,88.03202,84.38813,86.524826,87.02817,86.11625,84.68892,83.13739,83.86449,86.62033,87.973274,80.487404,88.056885,81.767235,83.83726,90.084236,86.46721,82.30661,76.33287,92.104645,86.661385,86.61929
27,80.9007,-70.6023,25.9,763,1170,1390,1.198,13,1465,627,30.237116,2.836842,32.881283,31.069439,30.879654,33.822033,29.350382,27.42398,31.78678,31.086172,33.064846,28.482466,32.06302,28.583942,30.319052,30.15139,21.505974,28.540642,30.898024,34.94948,31.852417,31.289225,29.988272,26.026333,31.420784,25.7364,32.75594
28,80.8331,-70.4893,7.9,648,1244,1609,54.007,325,14974,961,112.59679,4.483717,115.91132,107.428856,121.22029,111.89441,113.86129,110.095566,111.84036,116.60132,114.99863,109.29277,107.808365,110.53161,115.78412,114.96714,106.319176,115.2177,106.313835,111.15268,120.56535,112.60456,110.88231,102.58921,119.39216,114.897385,112.7492
29,80.8829,-70.7461,24.6,820,1228,1324,0.586,33,1104,504,28.014715,2.7176442,30.45816,28.507172,28.84127,31.54054,27.39649,24.855415,29.468164,28.45619,31.347101,26.670786,29.304085,26.066483,27.55149,27.712652,20.11905,25.765472,28.912022,32.70627,29.932331,29.178951,27.950188,23.995644,29.117487,24.079456,30.435024
