,layer architecture,model parameters,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
39,24-12-6,644.0,0.01,0.2,300,10.680167846679687,10.62456241607666,0.861259579461142,0.7601569972813174,1.358634115457595,1.3247492242645162
48,32-16-8,1012.0,0.01,0.2,300,11.244883308410644,9.754352073669434,0.7784889764583374,0.9207200343859056,1.0884604774533924,1.0085100826543032
33,16-8,324.0,0.1,0.2,300,11.489019241333008,10.791455001831055,1.1729640203716778,0.9549835649397855,2.3852233097407485,2.0000868046903753
30,16-8,324.0,0.01,0.2,300,12.089952011108398,12.199348220825195,0.5480001177353093,0.668366433038725,0.9472843353855188,0.8394345917510159
12,12-6,224.0,0.01,0.2,300,12.171542510986328,12.968093605041505,0.7718224300464793,0.5782343446477217,1.0745856090328443,0.9332901828187289
42,24-12-6,644.0,0.1,0.2,300,12.310520629882813,11.22954563140869,1.278244126734523,1.2685481744526437,2.812962491392178,2.6018224174287266
3,10-5,180.0,0.01,0.2,300,12.389454078674316,13.06060619354248,0.6485397593705308,0.5579491775913685,0.7612227971042144,0.74082303728188
15,12-6,224.0,0.1,0.2,300,12.4827152633667,11.404784889221192,0.9287666758267332,1.3188114704917748,2.4334745004540452,2.1745320827705585
24,12-8,252.0,0.1,0.2,300,12.486080169677734,11.362632331848145,1.071563250641574,0.8736620684963851,2.4409765952692535,1.9604601712450211
45,32-16-8,1012.0,0.001,0.2,300,12.518682174682617,13.118342170715332,0.38484454086283726,0.4001248061367285,0.5404452578811373,0.486123928091608
51,32-16-8,1012.0,0.1,0.2,300,12.655567359924316,10.829549407958984,1.269251630034114,1.2784263853714029,4.234867856420039,3.7155155163789444
36,24-12-6,644.0,0.001,0.2,300,12.880228691101074,13.574169921875,0.4093996926667316,0.36078743262703294,0.5554962834709399,0.46954638447259844
21,12-8,252.0,0.01,0.2,300,12.909379920959474,13.366924018859864,3.3964184356440885,3.3706393132952477,4.716254266327048,4.374970210832544
57,8-4,140.0,0.01,0.2,300,13.20607334136963,14.075289344787597,3.3304058368054617,3.2064970252084533,4.629638108162512,4.278310304753973
6,10-5,180.0,0.1,0.2,300,13.294695968627929,11.916942596435547,1.4800369438478878,2.031950435580873,1.969972413470271,1.9645307583339386
60,8-4,140.0,0.1,0.2,300,13.657004203796387,12.947281074523925,1.2796621106399286,2.535026626223793,2.313972273175546,2.394827013489395
27,16-8,324.0,0.001,0.2,300,13.680231437683105,14.473047370910644,0.42333481186684085,0.21211761834885148,0.39697378110577675,0.3356880529079524
18,12-8,252.0,0.001,0.2,300,13.79292625427246,14.652793235778809,0.5586668476942807,0.2836408257061838,0.6403771426675419,0.5449643277612918
9,12-6,224.0,0.001,0.2,300,14.159999198913575,14.833966865539551,0.4787520321012709,0.25336276819650855,0.4910204736452453,0.4430494044616619
0,10-5,180.0,0.001,0.2,300,14.268489303588867,14.994073944091797,0.5220947547482412,0.30955063071006805,0.5127796148437135,0.4191035230682066
54,8-4,140.0,0.001,0.2,300,15.723927268981933,16.53647384643555,6.294355798600982,6.078491883515508,7.679362807382331,7.30709258691872
50,32-16-8,1012.0,0.01,0.2,100,16.260462913513184,12.049780387878418,0.7558856725079552,0.7009593843480851,1.2008124945874237,1.0243487490797696
49,32-16-8,1012.0,0.01,0.2,150,16.298401412963866,10.893741722106933,0.697448319103424,0.6509298774409893,1.3403320123690985,1.1337205928731005
40,24-12-6,644.0,0.01,0.2,150,16.4478226852417,11.686298789978027,0.7613348175427833,0.5810597023176572,1.2127705722464988,1.0489882568108613
41,24-12-6,644.0,0.01,0.2,100,16.54698616027832,12.454361038208008,0.7273791779433673,0.5909380170560703,1.1784355870601888,1.0069851255553464
