,layer architecture,model parameters,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
21,10,130.0,0.01,0.2,100,44.65605224609375,39.241180419921875,0.8820350896695897,0.45403318871122156,1.0518522474750054,0.6571016502745883
10,16-8,324.0,0.001,0.2,300,44.79682571411133,39.04365295410156,0.7567136488038344,0.5018696145281493,1.098256488218939,0.7072532551073922
16,12-6,224.0,0.001,0.2,300,45.237616271972655,39.51944839477539,0.677299248439681,0.5388551675778771,0.9729421446934982,0.7163918230091679
4,10-5,180.0,0.001,0.2,300,45.42555099487305,39.88345642089844,1.3681710837818797,0.49778723348479476,1.3028784810716894,0.659152052043885
34,32-16-8,1012.0,0.001,0.2,300,45.69532745361328,36.10111312866211,0.9647813705462965,0.7016731040189015,1.2981527301909703,0.7497030185958887
26,3,53.0,0.01,0.2,300,45.77112365722656,40.443424987792966,2.393602404266911,3.5947222058581803,6.045301564356037,5.459677733019637
25,3,53.0,0.1,0.2,100,45.85245971679687,39.01498519897461,1.1497059736495652,0.3872017857885374,1.8261176256818592,1.0696742637234598
20,10,130.0,0.01,0.2,300,46.23001190185547,37.590774078369144,2.499342829183392,1.0139921721953469,1.4506151238407132,1.0111377364282481
19,10,130.0,0.1,0.2,100,47.74631713867188,36.85325881958008,3.0339111919679267,0.9683557176582932,2.896484465040226,1.7786827292749217
27,3,53.0,0.01,0.2,100,47.917638244628904,42.639654846191405,5.0936936266235815,6.038691262209302,9.008071207006743,8.108002834459821
22,10,130.0,0.001,0.2,300,48.13812942504883,44.00631362915039,1.3494241061403143,0.9788061143273921,1.6646875332956783,1.413342006254492
2,10-5,180.0,0.01,0.2,300,48.66278259277344,36.06989791870117,3.1120378117873173,1.3700550340486202,2.56847539030768,1.5233515089558403
14,12-6,224.0,0.01,0.2,300,48.71475051879883,35.99227035522461,2.261604901587271,1.1629283295379833,2.707382226500305,1.4531097779943325
24,3,53.0,0.1,0.2,300,49.06086349487305,38.532069244384765,2.3717509941976807,0.47989419057070637,1.9253783256705,0.9718130135649933
8,16-8,324.0,0.01,0.2,300,50.49175247192383,34.994744567871095,3.236377147247861,1.5096379727245968,2.998915887294042,1.9274960354499042
0,10-5,180.0,0.1,0.2,300,50.49772125244141,33.75415100097656,5.248575733196787,1.439945079833254,5.166225924292589,3.527295581879075
32,32-16-8,1012.0,0.01,0.2,300,52.06289733886719,29.886455307006838,3.9688099557587924,1.411619760120011,4.716522824886784,3.3322628109399655
30,32-16-8,1012.0,0.1,0.2,300,52.113490142822265,27.547082748413086,7.050209188942051,2.3294966012661105,6.162382320020043,3.7698193978207537
12,12-6,224.0,0.1,0.2,300,52.58034973144531,32.41038383483887,6.819346816456228,2.395441368877252,5.611978740142606,3.9291220698119917
6,16-8,324.0,0.1,0.2,300,52.85430877685547,30.5914289855957,7.020414424203928,2.1091820834648423,6.485967150075152,4.56553059610229
18,10,130.0,0.1,0.2,300,53.443595275878906,35.720206604003906,9.06783451245622,1.0420380412440657,6.198487352316399,1.6748080603441402
28,3,53.0,0.001,0.2,300,56.67737762451172,54.68844665527344,5.06138705260468,5.572939293748389,7.925288982622621,7.041413160506865
23,10,130.0,0.001,0.2,100,60.80407485961914,62.1497868347168,2.4315863888956035,2.7856614957048658,3.382763981202902,3.0764834310401836
29,3,53.0,0.001,0.2,100,69.9335366821289,71.82975921630859,2.802660958988447,2.3576332193380534,2.688055331689902,2.4288146251727074
