,layer architecture,model parameters,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
5,24-12-6,592.0,0.1,0.2,300,14.431749610900878,14.352214889526367,1.4533566463786367,1.0365065300769447,2.655964394213253,2.316590079815089
4,24-12-6,592.0,0.01,0.2,300,14.537637977600097,14.423981475830079,0.899134424799007,0.8829152247721861,1.4828613656294247,1.2831372989184806
0,12-6,196.0,0.001,0.2,300,14.981986198425293,16.668407554626466,0.38412384522449744,0.42809680012744084,0.6869244386785415,0.5741864730726732
2,12-6,196.0,0.1,0.2,300,15.064213218688964,15.009710922241212,1.3275013910113382,0.7479575867588205,2.844411270651557,2.433725401868338
3,24-12-6,592.0,0.001,0.2,300,15.08549991607666,15.529249839782715,0.4695097138273185,0.4546596736525368,0.6539730275568844,0.6120041962925298
1,12-6,196.0,0.01,0.2,300,15.528067016601563,15.034415092468262,0.5928077044888221,0.6529227732088525,1.213975803129165,1.0369796884054143
9,16-8,288.0,0.001,0.2,300,16.512821350097656,15.894436225891113,0.29794490822798886,0.3337217814625123,0.46560624486891855,0.4478010881240469
6,32-16-8,944.0,0.001,0.2,300,17.225268173217774,14.616766471862793,0.4477407087015281,0.547953177470649,0.6037201508335076,0.5488825384684454
14,4-2-2,66.0,0.1,0.2,300,17.592193603515625,17.319558486938476,0.5889892747310774,2.4891735666935704,2.0127986105693476,2.1059483158840484
7,32-16-8,944.0,0.01,0.2,300,17.688334121704102,12.82946994781494,0.8310448062991139,0.6687706060889108,1.3314378650030798,1.1806636789592497
10,16-8,288.0,0.01,0.2,300,18.094471435546875,14.159758529663087,0.7130214070029895,0.5632225393688439,1.0002742680300865,0.8955175836100531
11,16-8,288.0,0.1,0.2,300,18.42865280151367,13.911136016845703,0.9048003879375992,0.5568450608895971,1.965294707360195,1.7189623209225025
8,32-16-8,944.0,0.1,0.2,300,19.292376708984374,13.648365745544433,1.7897150827635626,1.006305116855708,3.5058706093697194,2.9964492999072934
13,4-2-2,66.0,0.01,0.2,300,20.278967361450196,18.985065422058106,5.1280655950117975,5.980450538163567,9.16967847715237,8.529787786946844
12,4-2-2,66.0,0.001,0.2,300,31.223657722473146,31.172126235961915,14.647607802991018,14.491286888509492,19.06563998334757,18.26348619834514
