,layer architecture,total parameters,trained parameters,total inputs,df,dropout,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
0,10-5,180.0,161.0,3015.0,df4,1,0.1,0.2,100,13.215500602722168,13.693944931030273,2.9147843279965295,1.9755129271213856,3.5173146724700928,3.1166255474090576
1,10-5,180.0,161.0,3015.0,df4,1,0.01,0.2,100,13.875626735687256,14.134042701721192,6.391926666980137,5.37499134693075,7.964188575744629,7.7638468742370605
2,10-5,180.0,161.0,3015.0,df4,1,0.001,0.2,100,17.606575241088866,17.608418502807616,2.7993332138008777,2.1509199299963737,4.4780659675598145,3.66619610786438
3,47-21,1519.0,1500.0,3015.0,df4,1,0.1,0.2,100,11.484595375061035,11.833925437927245,1.666101977462575,0.795350833839218,3.6683781147003174,3.2127673625946045
4,47-21,1519.0,1500.0,3015.0,df4,1,0.01,0.2,100,12.26268871307373,12.637153015136718,2.0785613278111765,0.617365585221934,2.381603717803955,1.2969820499420166
5,47-21,1519.0,1500.0,3015.0,df4,1,0.001,0.2,100,13.484853401184083,13.800958404541015,2.348697379343696,0.5997717847692966,1.8606265783309937,0.5107370018959045
6,64-36,3036.0,3017.0,3015.0,df4,1,0.1,0.2,100,11.474553489685059,11.715558853149414,1.7584833799012989,0.8836894659829969,4.4249091148376465,3.86324405670166
7,64-36,3036.0,3017.0,3015.0,df4,1,0.01,0.2,100,11.9817804145813,12.455970993041992,2.1974506921505093,0.6427323627002054,2.1356215476989746,1.6067687273025513
8,64-36,3036.0,3017.0,3015.0,df4,1,0.001,0.2,100,13.252747344970704,13.547355194091796,2.402458642488916,0.6461114573351966,1.7341047525405884,0.6720829606056213
9,10-5,180.0,161.0,3015.0,df4,1,0.01,0.2,20,14.746904602050781,14.973742485046387,2.238515994780367,0.9715543524424426,1.914473056793213,0.870887815952301
10,47-21,1519.0,1500.0,3015.0,df4,1,0.01,0.2,20,15.509023666381836,13.355112075805664,0.0,0.0,0.0,0.0
11,47-21,1519.0,1500.0,3015.0,df4,1,0.01,0.2,15,13.38591476281484,13.854682366053263,2.288120566769679,0.5985543707816385,2.1089413166046143,1.2001781463623047
12,64-36,3036.0,3017.0,3015.0,df4,1,0.001,0.2,30,16.18866111755371,16.4170112991333,2.2964774594911974,0.733592876761753,2.1585214138031006,0.7876384258270264
