,layer architecture,model parameters,learning rate,validation split,epochs,test mae avg,train mae avg,test mae std dev,train mae std dev,test predicted thickness std dev,train predicted thickness std dev
20,16-10,270.0,0.1,0.2,300,36.02481018066406,11.227333946228027,24.7426882720285,1.040624519207159,15.68468154220085,2.0468973675737385
36,20-10,330.0,0.1,0.2,300,36.684168014526364,11.4961727142334,14.20259172069235,1.2786998148329214,10.680336901412403,3.192788880010962
56,64,4554.0,0.1,0.2,300,37.28350180387497,10.85119342803955,11.034718276907057,1.3490862569853177,11.279318293104135,2.1031197333742293
32,16-8,234.0,0.1,0.2,300,38.656467819213866,11.692670822143555,29.733457260929328,1.4125080285240528,20.76889935478947,3.143393578965039
8,12-6-3,172.0,0.1,0.2,300,43.00967758178711,11.580005493164062,26.626462646184635,1.9373547496722068,18.22039522146962,2.425201648316844
24,16-4,162.0,0.1,0.2,300,43.57786956787109,11.65685287475586,31.413210044391928,1.234963724083099,19.864055470619526,2.4475381709629134
4,12-12,238.0,0.1,0.2,300,45.32277221679688,11.87025104522705,22.46291327992273,1.256479279822299,14.43067750889559,2.799341505950346
28,16-6,198.0,0.1,0.2,300,45.996561241149905,11.689290809631348,30.38505806113568,1.1216706905759362,20.22361135415628,2.0610037730947184
40,4-2-2,48.0,0.1,0.2,300,48.81366157531738,17.07557891845703,28.074958752174247,3.3108025242144192,20.798493749659233,2.772282035798195
46,4-2,42.0,0.001,0.2,300,49.50306221008301,35.2026244354248,19.409346499611857,10.26140640606103,22.84584770448293,11.17677838960161
16,12-8,182.0,0.1,0.2,300,50.875385208129885,11.73478298187256,31.989574127016727,1.0959099573204587,19.970083639899975,2.0072982467163563
12,12-6,154.0,0.1,0.2,300,52.55653461456299,12.01623779296875,29.897221969125223,2.0225350351596156,18.720065492930075,2.426674113454334
60,8-4-2,98.0,0.1,0.2,300,52.665126724243166,15.672720108032227,35.39560372213597,3.8796441368091146,23.759894416529132,3.31620471905476
52,6-4-2,80.0,0.1,0.2,300,53.36631252288819,15.648812217712402,36.16919014052284,3.7592065900856437,24.534690761283905,3.0205353813585183
0,10-10,180.0,0.1,0.2,300,56.64835388183594,12.004552841186523,28.979096186782957,1.432834700029126,18.486945164446002,2.5867122903080237
45,4-2,42.0,0.01,0.2,300,58.29753829956055,24.048789291381837,17.337605081571283,13.276362600764108,30.24065947333469,15.246306090397452
41,4-2-2,48.0,0.01,0.2,300,61.265933990478516,22.686949424743652,26.27938198200244,13.085963951940567,32.47667220539065,15.161005627151146
42,4-2-2,48.0,0.001,0.2,300,61.48875907897949,31.654669303894043,20.282356443799525,14.924282258765915,33.756854225791976,17.079315958200688
65,8-4,90.0,0.01,0.2,300,67.86689834594726,14.567578620910645,16.152030956254837,5.600922635437872,15.444268732807705,6.466422461565225
64,8-4,90.0,0.1,0.2,300,69.87321186065674,13.16141773223877,35.5541980967726,1.768446902834634,22.715053978583164,2.036202199142794
44,4-2,42.0,0.1,0.2,300,72.6119246673584,15.673202781677245,35.02410362911,2.8816464897370255,24.53776413076491,2.6497857025381517
1,10-10,180.0,0.01,0.2,300,80.37840621948243,13.10259536743164,12.586880315468953,0.7410771837571548,7.600897777656454,0.8008049417328263
66,8-4,90.0,0.001,0.2,300,81.3423918914795,18.264966735839845,22.45093595296101,2.228693721238388,16.945659471614228,2.8654466297071832
2,10-10,180.0,0.001,0.2,300,82.78009536743164,16.262005157470703,13.075868121325238,0.6766637644545043,7.951619828261885,0.8564424982111305
33,16-8,234.0,0.01,0.2,300,83.69162414550782,12.758378410339356,15.599034354923296,0.8262756784627229,9.302853280598697,1.0508860925489707
57,64,4554.0,0.01,0.2,300,85.5920639038086,13.864898681640625,0.0,0.0,0.0,0.0
58,64,4554.0,0.001,0.2,300,87.14337921142578,16.1832332611084,0.0,0.0,0.0,0.0
34,16-8,234.0,0.001,0.2,300,87.37965850830078,15.657688522338868,12.541412715039169,0.45799710159920787,7.338518758328647,0.5564213827596759
48,6-3,64.0,0.1,0.2,300,99.42265632629395,13.991101264953613,41.306614228935054,2.0268432976718858,25.900069114261374,2.404127053235907
